ac_from,ac_to,fraud_flag,trx_channel,trx_type,start_balance,trx_amt,mbar_region,mbar_city,mbar_registered_channel,mbar_registered_date_time,mbar_a_c_status,mbar_a_c_level,mbar_agent_group,mbar_limit_group,mbar_charge_profile,mbar_credit_dl_ml_yl,mbar_debit_dl_ml_yl,mbar_year_of_birth,mbar_last_modified_date_time,mbar_dormant_date,mbar_re_active_date,mbar_place_of_birth,mbar_account_type_name,hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,is_unusual_hour,night_weekend_combo,start_balance_log,balance_change,balance_change_pct,txn_txns_3d,txn_total_amount_3d,txn_avg_amount_3d,txn_max_amount_3d,txn_min_amount_3d,txn_unique_recipients_3d,txn_unique_channels_3d,txn_unique_types_3d,txn_is_high_activity_3d,txn_multi_channel_recent,txn_amount_deviation_from_avg,txn_night_txns_3d,txn_weekend_txns_3d,user_total_txns_3d,user_total_amount_3d,user_avg_amount_3d,user_median_amount_3d,user_max_amount_3d,user_min_amount_3d,user_unique_recipients_3d,user_unique_channels_3d,user_unique_types_3d,user_total_txns_7d,user_total_amount_7d,user_avg_amount_7d,user_median_amount_7d,user_max_amount_7d,user_min_amount_7d,user_unique_recipients_7d,user_unique_channels_7d,user_unique_types_7d,user_most_used_channel_7d,user_last_used_channel,user_channel_diversity_score_7d,user_most_used_type_7d,user_last_used_type,user_type_diversity_score_7d,user_night_txns_7d,user_weekend_txns_7d,user_peak_hour_txns_7d,user_off_peak_hour_txns_7d,user_avg_start_balance_7d,user_avg_end_balance_7d,user_min_balance_7d,user_max_balance_7d,user_balance_volatility_7d,user_avg_amount_per_recipient_7d,user_max_amount_to_single_recipient_7d,user_recipient_concentration_ratio_7d,user_avg_time_between_txns_7d,user_txn_frequency_score_7d,user_days_since_last_txn,ac_from_id,ac_to_id,trx_channel_id,trx_type_id,mbar_region_id,mbar_city_id,mbar_registered_channel_id,mbar_a_c_status_id,mbar_a_c_level_id,mbar_agent_group_id,mbar_account_type_name_id,txn_unique_channels_3d_id,txn_unique_types_3d_id,user_unique_channels_3d_id,user_unique_types_3d_id,user_unique_channels_7d_id,user_unique_types_7d_id,user_most_used_channel_7d_id,user_last_used_channel_id,user_most_used_type_7d_id,user_last_used_type_id,isolation_forest_prediction,isolation_forest_probability,isolation_forest_score,best_model_used,sampling_strategy_used,_c112,min_distance_to_fraud,cluster_id,cluster_fraud_rate
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,7136.1,3000.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,22,4,0,1,0,0,0,8.872921687,-3005.03,-0.42,9,28260.0,3140.0,15000.0,60.0,3,1,2,0,0,-0.044585987,5,0,9,56251.65,6250.183333,4026.55,20231.2,1.7,3,1,2,9,56251.65,6250.183333,4026.55,20231.2,1.7,3,1,2,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.9,0,0,2,7,6250.183333,3500.261111,1.7,20231.2,7271.383409,6250.183333,20231.2,0.666666667,5.545454545,4.0,0,18968,485,14,14,,,3,0,1,15,1,1,2,1,2,1,2,12,15,13,16,0,0.434092388,0.265173447,Isolation Forest,Original (No Sampling),#REF!,0.011703147566075925,0,0.0056
wcZtgrlcErakayEGdcrktA==,/d3gEBGlyOwSvnL68U5/rg==,0,NEW_JC_APP,Transfer(C2C),7.15,2500.0,,,API,2025-02-16T19:34:01.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-02-18T10:16:07.000+05:00,1/1/1970,1/1/1970,LAHORE CANTT LAHORE,Customer Account,15,6,1,0,1,0,0,1.967112357,2500.0,349.65,3,6800.0,2266.666667,3500.0,1000.0,1,1,1,0,0,0.102941176,2,0,3,111.45,37.15,27.15,77.15,7.15,1,1,1,6,1342.55,223.7583333,25.42,1203.7,3.7,1,1,1,NEW_JC_APP,NEW_JC_APP,0.0,Transfer(C2C),Transfer(C2C),0.0,0,1,1,5,223.7583333,2472.091667,3.7,3577.15,438.9006507,223.7583333,1203.7,1.0,22.66666667,1.0,0,21721,561,14,31,,,0,0,1,33,1,1,1,1,1,1,1,12,15,29,35,0,0.435202568,0.260655543,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
l78l4PZSzecnlvlWJZHs+A==,/pB4wqNMeoQE3LEqlp0SkQ==,0,Payment Gateway,Transfer(C2B),0.0,399.0,,,API,2024-03-16T10:50:32.000+05:00,Suspended,Level 1,Product for Debit lock,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-02-05T10:48:43.000+05:00,1/1/1970,1/1/1970,NANKANA SAHIB NANKANA SAHIB,Customer Account,9,6,1,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,Payment Gateway,Payment Gateway,0.0,Transfer(C2B),Transfer(C2B),0.0,0,0,0,0,,,0.0,0.0,,,0.0,1.0,0.0,3.0,0,17648,635,16,30,,,0,5,1,6,1,0,0,0,0,0,0,14,17,28,34,0,0.440586387,0.238782577,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
y8EjL00dpHe53wRasnUIYQ==,/pB4wqNMeoQE3LEqlp0SkQ==,0,Payment Gateway,Transfer(C2B),0.0,200.0,,,BIO,2021-06-15T10:22:50.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1983,2021-10-06T20:03:49.000+05:00,1/1/1970,1/1/1970,FAISALABAD,Customer Account,18,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,Payment Gateway,Payment Gateway,0.0,Transfer(C2B),Transfer(C2B),0.0,0,0,0,0,,,0.0,0.0,,,0.0,1.0,0.0,2.0,0,22281,635,16,30,,,1,0,1,15,1,0,0,0,0,0,0,14,17,28,34,0,0.434802733,0.262282372,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,4275.98,2000.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,2,7,1,1,0,1,1,8.360768595,-2003.87,-0.46,24,90480.0,3770.0,11500.0,400.0,7,2,4,1,1,-0.469496021,7,6,24,288205.59,12008.56625,10149.09,75887.93,256.23,7,2,4,44,677946.62,15407.87773,14288.14,75887.93,256.23,9,3,5,NEW_JC_APP,BISP,0.977930358,IBFT Outgoing Customer,IBFT Outgoing Customer,0.970946579,6,6,15,29,15407.87773,12744.39386,256.23,76757.93,12427.67354,15148.914,75887.93,0.607843137,3.3,7.285714286,0,18968,485,14,14,,,3,0,1,15,1,2,4,2,4,3,5,12,4,13,16,0,0.4536752,0.185832149,Isolation Forest,Original (No Sampling),#REF!,0.011703147566075925,0,0.0056
4I0Ao2qyfJIn+97di7fuwA==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,41497.85,1497.0,,,NEW_JC_APP,2025-01-28T11:59:41.000+05:00,Active,Level 1,Product for Standard OMNO L1 Customer,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,2004,2025-01-28T12:26:05.000+05:00,1/1/1970,1/1/1970,TANDLIANWALA FAISALABAD,Customer Account,19,6,1,0,0,0,0,10.6333969,-1498.55,-0.03,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,2,148861.24,74430.62,74430.62,105361.84,43499.4,2,1,2,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.6,0,0,1,1,74430.62,74429.845,41497.85,107361.84,30931.22,74430.62,105361.84,0.666666667,64.5,0.5,0,2203,485,14,14,,,3,0,1,44,1,0,0,0,0,1,2,12,15,13,16,0,0.447945123,0.208976725,Isolation Forest,Original (No Sampling),#REF!,0.01425327010661355,0,0.0056
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,2486.33,1000.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,1,4,0,1,0,1,0,7.818563006,-1002.71,-0.4,20,69336.0,3466.8,32746.0,15.0,5,3,5,1,1,-0.711549556,6,0,20,389741.03,19487.0515,18888.8,35039.14,470.93,5,3,5,31,583967.28,18837.65419,18881.3,35039.14,0.72,7,4,6,NEW_JC_APP,Payment Gateway,0.969289827,IBFT Outgoing Customer,Online Payment,0.959409594,4,9,12,19,18837.65419,16503.99194,0.72,35039.14,7782.898371,18054.92821,28729.75,0.578947368,4.432432432,5.428571429,0,18968,485,14,14,,,3,0,1,15,1,3,5,3,5,4,6,12,17,13,23,0,0.446305592,0.215609022,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
m01SyoymhSBHxz0H6j1P3A==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,10008.73,2000.0,,,BIO,2025-04-27T14:29:24.000+05:00,Suspended,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2004,2025-08-20T23:58:02.000+05:00,1/1/1970,1/1/1970,PESHAWAR,Customer Account,11,6,1,0,1,0,0,9.211212991,0.0,0.0,25,288270.0,11530.8,18800.0,720.0,6,2,4,1,1,-0.826551497,5,0,25,532782.79,21311.3116,15019.98,215577.69,0.0,6,2,4,40,683085.96,17077.149,15019.98,215577.69,0.0,11,2,4,USSD_API,USSD_API,0.974625895,IBFT Outgoing Customer,IBFT Outgoing Customer,0.969116081,1,6,27,13,17077.149,16357.571,0.0,215577.69,33015.76843,17077.149,215577.69,0.674418605,3.666666667,6.142857143,0,17960,485,22,14,,,1,5,1,15,1,2,4,2,4,2,4,19,23,13,16,0,0.442135957,0.232497851,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
Ow11FRiROrkRkHjFtYCh+w==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,5.0,3.0,,,NEW_JC_APP,2023-07-31T17:38:08.000+05:00,Suspended,Level 1,Product for Standard OMNO L1 Customer,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,2000,2025-09-04T18:20:36.000+05:00,1/1/1970,1/1/1970,KARACHI WASTI KARACHI WASTI,Customer Account,12,7,1,0,1,0,0,1.609437913,-4.55,-0.91,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,Payment Gateway,THIRD_PARTY_WEB,0.777777778,Online Payment,Auto Debit,0.777777778,0,0,0,0,,,0.0,0.0,,,0.0,0.4,2.25,5.0,0,9668,485,14,14,,,3,5,1,44,1,0,0,0,0,0,0,14,21,20,2,0,0.440190352,0.240389561,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
jMfbbZMIjQyjVVf6QRqC8g==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,13581.24,13100.0,,,NEW_JC_APP,2025-01-02T16:12:05.000+05:00,Suspended,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2006,2025-07-13T12:24:59.000+05:00,1/1/1970,1/1/1970,VEHARI VEHARI,Customer Account,17,6,1,0,1,0,0,9.516444707,0.0,0.0,9,42994.0,4777.111111,7150.0,39.0,4,1,3,0,0,1.742243104,0,0,9,160084.92,17787.21333,69.09,76360.43,0.0,4,1,3,9,160084.92,17787.21333,69.09,76360.43,0.0,4,1,3,USSD_API,USSD_API,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.931623932,0,0,9,0,17787.21333,16993.76889,0.0,76360.43,31387.52195,17787.21333,76360.43,0.470588235,2.1875,8.5,0,17033,485,22,14,,,3,5,1,15,1,1,3,1,3,1,3,19,23,13,16,0,0.439605257,0.242764253,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
dxgQVFPdjbkB87hhQTFRBA==,/QRlt6LP/rXls1Tn2L9dSA==,0,BISP,IBFT Outgoing Customer,19.42,1.0,,,API,2025-06-30T13:25:06.000+05:00,Suspended,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-07-16T18:11:35.000+05:00,1/1/1970,1/1/1970,GUJAR KHAN RAWALPINDI,Customer Account,21,5,0,0,0,0,0,2.966303463,0.0,0.0,65,25101.0,386.1692308,13900.0,1.0,49,3,3,1,1,-0.997410462,9,0,65,186139.98,2863.692,100.0,28954.91,0.0,49,3,3,65,186139.98,2863.692,100.0,28954.91,0.0,49,3,3,NEW_JC_APP,NEW_JC_APP,0.985948984,Transfer(C2C),Transfer(C2C),0.985948984,0,0,32,33,2863.692,3186.153538,0.0,31522.0,6378.107782,2863.692,28954.91,0.23255814,0.717647059,28.66666667,0,15041,485,4,14,,,0,5,1,33,1,3,3,3,3,3,3,12,15,29,35,0,0.43883529,0.245890314,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,18563.2,1000.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,21,1,0,0,0,0,0,9.828936405,-1001.55,-0.05,11,8310.0,755.4545455,3020.0,150.0,5,3,4,1,1,0.323706378,5,9,11,194226.25,17656.93182,18408.15,26333.5,0.72,5,3,4,17,279158.3,16421.07647,14816.67,26333.5,0.72,5,3,4,NEW_JC_APP,BISP,0.956175299,IBFT Outgoing Customer,IBFT Outgoing Customer,0.946875,2,9,6,11,16421.07647,15639.57588,0.72,26333.5,6377.392505,15990.39688,26333.5,0.607142857,6.037037037,4.0,0,18968,485,14,14,,,3,0,1,15,1,3,4,3,4,3,4,12,4,13,16,0,0.437971178,0.24940003,Isolation Forest,Original (No Sampling),#REF!,0.011703147566075925,0,0.0056
Meps74P5AQHufKSWie/IxQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,2020.53,2000.0,,,BIO,2024-05-31T14:58:51.000+05:00,Active,Level 1,Product for Standard OMNO L1 Customer,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,1977,2025-07-01T12:52:49.000+05:00,1/1/1970,1/1/1970,MUZAFARABAD,Customer Account,23,2,0,1,0,0,0,7.611115132,-2003.87,-0.99,6,25480.0,4246.666667,7990.0,500.0,3,2,3,0,1,-0.529042386,2,4,6,18549.64,3091.606667,1011.65,8008.7,0.0,3,2,3,14,46330.02,3309.287143,1015.13,8008.7,0.0,5,3,4,NEW_JC_APP,NEW_JC_APP,0.930348259,IBFT Outgoing Customer,IBFT Outgoing Customer,0.917293233,0,4,6,8,3309.287143,197.7778571,0.0,8008.7,3124.519953,3309.287143,8008.7,0.647058824,9.5,2.428571429,0,8831,485,14,14,,,1,0,1,44,1,2,3,2,3,3,4,12,15,13,16,0,0.437330675,0.252002507,Isolation Forest,Original (No Sampling),#REF!,0.018743584014464344,0,0.0056
GvQYwZq2vXVBCILFEJlIpQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,1505.9,1500.0,,,API,2025-05-28T11:02:37.000+05:00,Suspended,Level 1,Product for Minor Accounts,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,0,2025-08-10T21:46:00.000+05:00,1/1/1970,1/1/1970,LAHORE,Customer Account,23,2,0,1,0,0,0,7.317146005,-1501.55,-0.99,17,58311.0,3430.058824,10000.0,200.0,8,2,3,1,1,-0.562689715,5,12,17,114273.62,6721.977647,2015.9,50160.71,0.0,8,2,3,36,126510.22,3514.172778,1108.0,50160.71,0.0,14,2,3,Payment Gateway,NEW_JC_APP,0.97,Online Payment,IBFT Outgoing Customer,0.968017058,3,12,25,11,3514.172778,2312.895,0.0,51370.71,9094.066995,3698.864242,50160.71,0.175,3.897435897,5.714285714,0,6761,485,14,14,,,0,5,1,33,1,2,3,2,3,2,3,14,15,20,16,0,0.437095507,0.252958251,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
l1D8/eCegM7ctNDYk5b0mw==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,5145.47,5100.0,,,BIO,2024-04-24T13:59:58.000+05:00,Suspended,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2003,2025-06-24T00:21:42.000+05:00,1/1/1970,1/1/1970,KHAN GARRH GHOTKI,Customer Account,16,1,0,0,1,0,0,8.545871996,-5107.47,-0.99,7,1024.0,146.2857143,500.0,1.0,6,2,4,0,1,33.86328125,0,5,7,1131.04,161.5771429,128.58,528.58,2.11,6,2,4,16,24924.37,1557.773125,478.58,5928.58,2.11,10,2,4,NEW_JC_APP,NEW_JC_APP,0.958536585,IBFT Outgoing Customer,IBFT Outgoing Customer,0.956521739,0,5,7,9,1557.773125,943.704375,2.11,5928.58,1980.282897,1653.052667,5928.58,0.5,5.296296296,4.0,0,17602,485,14,14,,,1,5,1,15,1,2,4,2,4,2,4,12,15,13,16,0,0.435353333,0.260042205,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
uS+IBkIKDr3ZPVyML/qrZQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,525.32,100.0,,,NEW_JC_APP,2024-05-14T15:37:33.000+05:00,Active,Level 0,Product for Standard OMNO L0 Customer - CICOATMBlocked,Rule Profile for L0 Standard OMNO Customer,OMNO L0 for App and USSD - Blocked CICO and ATM Withdrawl,0,0,1999,2024-05-14T15:37:40.000+05:00,1/1/1970,1/1/1970,MULTAN,Customer Account,8,6,1,0,0,0,0,6.264007601,-100.0,-0.19,12,1368.0,114.0,800.0,1.0,5,1,3,1,0,-0.122807018,0,0,12,6156.95,513.0791667,136.21,2434.17,0.0,5,1,3,14,6665.59,476.1135714,153.71,2434.17,0.0,5,1,3,NEW_JC_APP,NEW_JC_APP,0.0,Transfer(C2B),IBFT Outgoing Customer,0.938356164,0,0,10,4,476.1135714,373.8992857,0.0,2469.17,646.4292513,476.1135714,2434.17,0.45,5.631578947,3.333333333,0,20944,485,14,14,,,3,0,0,43,1,1,3,1,3,1,3,12,15,28,16,0,0.434535273,0.263370796,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
roWWdbIio4SPrRSOkT/0WA==,/pB4wqNMeoQE3LEqlp0SkQ==,0,Payment Gateway,Transfer(C2B),0.0,200.0,,,NEW_JC_APP,2025-06-06T19:48:09.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2005,2025-06-06T19:49:07.000+05:00,1/1/1970,1/1/1970,RAWALPINDI RAWALPINDI,Customer Account,2,6,1,1,0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,Payment Gateway,Payment Gateway,0.0,Transfer(C2B),Transfer(C2B),0.0,0,0,0,0,,,0.0,0.0,,,0.0,1.0,0.0,3.0,0,20033,635,16,30,,,3,0,1,15,1,0,0,0,0,0,0,14,17,28,34,0,0.448575591,0.206427557,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
Meps74P5AQHufKSWie/IxQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,1011.65,1000.0,,,BIO,2024-05-31T14:58:51.000+05:00,Active,Level 1,Product for Standard OMNO L1 Customer,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,1977,2025-07-01T12:52:49.000+05:00,1/1/1970,1/1/1970,MUZAFARABAD,Customer Account,16,6,1,0,1,0,0,6.91933794,-1002.71,-0.99,8,27550.0,3443.75,7550.0,500.0,3,3,3,0,1,-0.709618875,3,0,8,27780.38,3472.5475,1791.68,7567.46,515.91,3,3,3,18,3.336471383E9,1.853595213E8,1042.46,1.268208781E9,515.91,6,4,5,NEW_JC_APP,NEW_JC_APP,0.93627451,IBFT Outgoing Customer,IBFT Outgoing Customer,0.930555556,0,0,12,6,1.853595213E8,1.853576884E8,0.56,1.268209281E9,4.173720448E8,2.224313114E8,1.268208781E9,0.454545455,6.619047619,3.666666667,0,8831,485,14,14,,,1,0,1,44,1,3,3,3,3,4,5,12,15,13,16,0,0.447904193,0.209142241,Isolation Forest,Original (No Sampling),#REF!,0.018743584014464344,0,0.0056
orEYuxRrdAIVgex/Vgjo6Q==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,10264.35,10000.0,,,NEW_JC_APP,2024-12-02T15:41:18.000+05:00,Active,Level 1,Product for Asaan Digital Account,Rule Profile for Asaan DigitalCustomer,OMNO L1 for App and USSD,0,0,2002,2024-12-02T16:39:23.000+05:00,1/1/1970,1/1/1970,BANDA DAUD SHAH KARAK,Customer Account,1,3,0,1,0,1,0,9.236432006,-10013.15,-0.97,7,45002.0,6428.857143,15000.0,1.0,3,1,2,0,0,0.555486423,2,2,7,1015267.38,145038.1971,10347.35,945603.57,5272.7,3,1,2,9,1034034.79,114892.7544,10347.35,945603.57,5272.7,3,1,2,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.918918919,0,3,3,6,114892.7544,107883.6511,265.35,945604.57,293745.5444,114892.7544,945603.57,0.857142857,11.61538462,2.0,0,18955,485,14,14,,,3,0,1,2,1,1,2,1,2,1,2,12,15,13,16,0,0.447099273,0.212397811,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
nP3m8grI+rI4U4MNm9RKqQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,13994.49,13850.0,,,API,2024-12-24T20:42:14.000+05:00,Suspended,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-07-26T00:41:32.000+05:00,1/1/1970,1/1/1970,LAHORE,Customer Account,11,1,0,0,1,0,0,9.546418959,-13868.62,-0.99,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,USSD_API,USSD_API,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.0,0,0,0,0,,,0.0,0.0,,,0.0,1.0,4.5,3.0,0,18446,485,22,14,,,0,5,1,33,1,0,0,0,0,0,0,19,23,13,16,0,0.444281424,0.223803807,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
m01SyoymhSBHxz0H6j1P3A==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,11945.2,10000.0,,,BIO,2025-04-27T14:29:24.000+05:00,Suspended,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2004,2025-08-20T23:58:02.000+05:00,1/1/1970,1/1/1970,PESHAWAR,Customer Account,15,6,1,0,1,0,0,9.388084802,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,USSD_API,USSD_API,0.876923077,IBFT Outgoing Customer,IBFT Outgoing Customer,0.853658537,0,0,0,0,,,0.0,0.0,,,0.0,0.666666667,1.125,9.0,0,17960,485,22,14,,,1,5,1,15,1,0,0,0,0,0,0,19,23,13,16,0,0.440906021,0.23748583,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
M3GZ5qLV5kVVdBlHBl9i/Q==,/QRlt6LP/rXls1Tn2L9dSA==,0,BISP,IBFT Outgoing Customer,40.49,40.0,,,Mobile App,2020-10-19T12:29:44.000+05:00,Active,Level 0,Product for L0 Registered Customer - CICO/ATM Blocked,Rule Profile for L0 Register Customer,Charge Profile for L0 Register Customer - Blocked CICO and ATM Withdrawal,0,0,1948,2024-03-29T16:52:00.000+05:00,1/1/1970,1/1/1970,thatta,Customer Account,21,7,1,0,0,0,0,3.701055031,-40.0,-0.98,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,NEW_JC_APP,BISP,0.6,IBFT Outgoing Customer,IBFT Outgoing Customer,0.666666667,0,0,0,0,,,0.0,0.0,,,0.0,0.333333333,3.5,3.0,0,8589,485,4,14,,,2,0,0,13,1,0,0,0,0,0,0,12,4,13,16,0,0.439107301,0.244785813,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
INkpNW58ZpnH1x6EgjUtNg==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,5023.25,5000.0,,,API,2024-12-23T18:45:54.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-01-01T07:26:20.000+05:00,1/1/1970,1/1/1970,QASOOR QASOOR,Customer Account,14,4,0,0,1,0,0,8.521832414,-5008.35,-0.99,9,32620.0,3624.444444,5000.0,1990.0,1,1,1,0,0,0.379521766,2,0,9,32844.45,3649.383333,3851.78,5044.82,2003.33,1,1,1,14,50756.45,3625.460714,3929.73,6499.33,1011.39,1,1,1,USSD_API,USSD_API,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.0,0,3,5,9,3625.460714,15.15857143,0.49,6499.33,1450.436665,3625.460714,6499.33,1.0,10.78571429,2.142857143,0,7281,485,22,14,,,0,0,1,33,1,1,1,1,1,1,1,19,23,13,16,0,0.438209461,0.248432056,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
